date,temp,humidity,precip,windspeed,district,year,datetimeEpoch
1/1/2020,26.8,87.7,2.774,11.3,Ampara,2020,
1/2/2020,27.4,83.6,0.447,14,Ampara,2020,
1/3/2020,27.3,83.6,0.045,12.6,Ampara,2020,
1/4/2020,27.1,81.9,0.8,15.8,Ampara,2020,
1/5/2020,26.8,84.4,17.989,16.6,Ampara,2020,
1/6/2020,26.8,84.6,8.422,18.4,Ampara,2020,
1/7/2020,26.4,83.4,8.305,20.2,Ampara,2020,
1/8/2020,25.9,80,0.6,16.2,Ampara,2020,
1/9/2020,25.9,76.7,0.1,15.1,Ampara,2020,
1/10/2020,26.1,83.8,0.123,21.2,Ampara,2020,
1/11/2020,26.3,80.8,30.826,33.5,Ampara,2020,
1/12/2020,25.6,73.4,0.2,21.2,Ampara,2020,
1/13/2020,24.9,70.9,0,17.6,Ampara,2020,
1/14/2020,25.2,72.3,0,14.4,Ampara,2020,
1/15/2020,25.8,82.4,2.1,14,Ampara,2020,
1/16/2020,25.5,89.5,22.664,10.4,Ampara,2020,
1/17/2020,26.7,84,2.751,14.8,Ampara,2020,
1/18/2020,27,85.4,0.11,17.3,Ampara,2020,
1/19/2020,26.9,83.6,23.042,18.4,Ampara,2020,
1/20/2020,27,83.8,2.994,19.4,Ampara,2020,
1/21/2020,25.8,91.3,24.921,16.6,Ampara,2020,
1/22/2020,26.7,88.3,15.343,20.5,Ampara,2020,
1/23/2020,27.3,81.2,1.1,22,Ampara,2020,
1/24/2020,26.9,78.7,0.3,21.2,Ampara,2020,
1/25/2020,26.2,74.5,0,17.3,Ampara,2020,
1/26/2020,25.3,72.2,0,11.9,Ampara,2020,
1/27/2020,25.2,75.4,0,12.6,Ampara,2020,
1/28/2020,25.8,75,0,15.8,Ampara,2020,
1/29/2020,26,73.6,0,15.8,Ampara,2020,
1/30/2020,26.3,73.2,0,17.3,Ampara,2020,
1/31/2020,26.4,73.3,0,17.3,Ampara,2020,
2/1/2020,26.6,73.8,0.6,20.5,Ampara,2020,
2/2/2020,26.6,78.2,0.8,15.8,Ampara,2020,
2/3/2020,26.5,80.1,1.4,17.3,Ampara,2020,
2/4/2020,26.4,79.2,1.2,17.6,Ampara,2020,
2/5/2020,26.3,78.1,0.6,16.9,Ampara,2020,
2/6/2020,26.1,73.6,0,14.8,Ampara,2020,
2/7/2020,26.2,71.1,0,15.8,Ampara,2020,
2/8/2020,26.3,69.7,0,16.6,Ampara,2020,
2/9/2020,26.2,74.4,0.9,19.1,Ampara,2020,
2/10/2020,27.1,75.9,1,23,Ampara,2020,
2/11/2020,26.6,85.9,9.02,25.9,Ampara,2020,
2/12/2020,27,80.2,2.103,24.1,Ampara,2020,
2/13/2020,27.1,78.1,0.079,18.4,Ampara,2020,
2/14/2020,27.1,77.2,0,14.4,Ampara,2020,
2/15/2020,27.1,76.9,0.2,16.6,Ampara,2020,
2/16/2020,26.6,76.9,0.7,21.2,Ampara,2020,
2/17/2020,25.8,68.3,0,15.5,Ampara,2020,
2/18/2020,26,70.1,0,19.1,Ampara,2020,
2/19/2020,27.1,77.2,55.945,20.9,Ampara,2020,
2/20/2020,26.9,88.7,5.417,22.3,Ampara,2020,
2/21/2020,26.9,87.1,19.358,20.5,Ampara,2020,
2/22/2020,26.9,86,4.943,16.6,Ampara,2020,
2/23/2020,27,83.9,0.078,17.6,Ampara,2020,
2/24/2020,27.1,83.2,2.9,16.6,Ampara,2020,
2/25/2020,27.2,81.5,0.7,17.6,Ampara,2020,
2/26/2020,26.9,80.8,0.8,22.3,Ampara,2020,
2/27/2020,27.1,77.2,0.3,18.4,Ampara,2020,
2/28/2020,26.8,75.4,0.1,15.1,Ampara,2020,
2/29/2020,27.1,77,0.6,15.1,Ampara,2020,
3/1/2020,26.9,76.8,0,16.2,Ampara,2020,
3/2/2020,26.6,74.6,0,14.4,Ampara,2020,
3/3/2020,26.5,73.4,0,12.2,Ampara,2020,
3/4/2020,26.8,74.8,0,11.9,Ampara,2020,
3/5/2020,27.6,74.8,0.3,13,Ampara,2020,
3/6/2020,27.9,71.6,0.63,14,Ampara,2020,
3/7/2020,27.8,73.5,0,15.1,Ampara,2020,
3/8/2020,27.9,72,0,14.8,Ampara,2020,
3/9/2020,27.6,75.5,0.2,16.6,Ampara,2020,
3/10/2020,27.9,71.6,0,14.4,Ampara,2020,
3/11/2020,27.8,72.1,0,14.4,Ampara,2020,
3/12/2020,27.8,69.7,0,18,Ampara,2020,
3/13/2020,27.7,69.7,0,16.9,Ampara,2020,
3/14/2020,28,73.1,0.4,15.5,Ampara,2020,
3/15/2020,27.8,81.9,1.4,18,Ampara,2020,
3/16/2020,27.2,82.2,5.54,16.2,Ampara,2020,
3/17/2020,27.6,81,0.317,16.9,Ampara,2020,
3/18/2020,28.3,80,0.6,12.6,Ampara,2020,
3/19/2020,28.1,77.4,0.2,14.4,Ampara,2020,
3/20/2020,27.6,75.6,0,12.6,Ampara,2020,
3/21/2020,27.4,72.9,0,14.4,Ampara,2020,
3/22/2020,27.9,73.7,0,13.3,Ampara,2020,
3/23/2020,28.1,73.5,0,14.8,Ampara,2020,
3/24/2020,27.9,74.2,4.278,15.5,Ampara,2020,
3/25/2020,27.5,72.4,0,15.8,Ampara,2020,
3/26/2020,28.1,69.7,0.2,20.5,Ampara,2020,
3/27/2020,28.4,70.8,0.2,16.9,Ampara,2020,
3/28/2020,28.8,71.7,0,15.5,Ampara,2020,
